run,car,bike,bus,cycle,walk,electricity,water,recycling,plastic
794,38.28,41.47,33.5,35.25,4.96,2.58,220.56,sometimes,0
795,35.44,37.64,40.28,28.07,4.7,7.8,462.68,sometimes,4
796,25.15,33.87,53.33,32.77,4.47,4.46,346.69,often,5
797,34.43,39.17,33.49,20.13,7.28,8.86,357.5,never,5
798,25.84,33.96,56.28,18.04,7.31,5.54,255.13,always,4
799,32.03,33.83,30.01,25.59,7.35,7.22,391.24,sometimes,5
800,31.31,43.77,36.47,18.36,5.21,6.95,306.39,often,6
801,31.73,41.69,56.37,24.39,7.49,5.84,290.78,often,3
802,30.67,40.73,33.21,22.14,5.63,10.71,165.98,always,4
803,37.48,29.83,26.94,15.71,8.17,4.48,293.09,always,0
804,39.18,34.94,37.52,22.87,3.61,3.96,306.39,often,8
805,29.85,39.69,38.27,16.0,7.11,3.07,230.58,sometimes,3
806,32.15,34.43,29.1,21.45,6.27,6.04,494.49,sometimes,2
807,34.07,37.19,25.28,16.85,7.64,5.81,326.73,never,6
808,35.73,33.74,38.14,32.69,9.64,6.2,326.09,often,5
809,28.4,36.4,38.45,37.23,4.57,3.3,257.56,sometimes,3
810,29.99,33.64,38.97,20.7,3.96,4.1,110.14,sometimes,3
811,34.97,39.35,48.15,23.09,9.65,6.34,203.37,often,7
812,29.37,29.45,35.28,28.99,5.84,4.85,332.12,often,6
813,25.33,27.22,41.15,24.69,3.11,6.56,398.11,always,7
814,29.53,37.33,29.6,27.86,6.91,6.02,259.03,sometimes,1
815,25.84,36.75,34.08,21.56,7.48,9.9,298.19,often,4
816,26.79,37.45,47.51,17.38,4.78,5.13,139.2,often,3
817,24.12,30.08,39.88,31.0,5.61,8.11,220.04,never,0
818,35.96,38.96,49.0,22.13,4.81,8.9,220.13,sometimes,2
819,29.51,30.84,32.68,27.97,4.29,2.74,161.55,sometimes,3
820,22.76,37.87,39.8,24.32,6.33,5.89,160.56,sometimes,5
821,31.93,30.07,44.43,24.01,6.16,5.68,195.99,often,4
822,27.68,35.91,41.43,13.19,3.34,3.54,298.86,often,5
823,35.77,36.51,31.58,25.75,7.41,8.65,346.5,never,5
824,24.65,35.72,36.86,28.6,4.73,7.48,334.81,often,4
825,29.14,37.06,41.69,28.1,3.6,6.34,202.17,never,0
826,30.48,26.37,40.89,20.3,5.79,4.32,221.07,sometimes,0
827,27.49,38.3,32.36,27.59,5.87,7.17,306.79,often,7
828,35.72,32.83,46.65,34.54,8.18,6.62,401.1,sometimes,9
829,35.79,42.26,31.49,35.57,8.37,8.38,233.89,often,6
830,28.11,35.82,40.27,24.22,3.37,2.47,257.09,often,5
831,29.48,34.11,35.93,29.52,4.28,7.92,289.75,often,5
832,35.92,41.85,38.61,20.46,4.59,5.46,331.76,often,7
833,32.22,35.85,53.29,23.23,6.75,4.62,306.78,sometimes,4
834,34.16,31.07,29.42,33.75,3.37,2.16,289.25,always,5
835,30.43,42.91,44.22,37.5,6.58,6.39,320.8,often,5
836,22.75,37.79,49.18,18.73,3.71,6.82,353.46,often,4
837,27.23,29.6,43.19,19.86,7.67,5.91,226.14,often,2
838,25.55,34.5,39.73,22.64,8.04,9.5,477.1,often,2
839,31.02,28.12,41.79,36.14,4.21,3.56,401.19,often,3
840,28.84,38.88,43.57,24.47,6.09,7.03,279.82,often,4
841,28.28,37.21,46.73,34.87,3.2,5.12,328.91,always,3
842,31.19,40.05,34.83,34.39,5.96,9.27,457.7,sometimes,0
843,27.9,30.02,48.17,17.79,8.4,7.72,456.53,often,0
844,30.11,26.25,42.93,31.15,7.54,5.99,424.47,sometimes,5
845,31.58,38.5,49.97,32.3,3.9,8.29,418.15,sometimes,3
846,28.56,30.18,39.73,20.32,5.45,6.75,297.21,often,6
847,28.85,30.87,40.95,20.53,9.0,4.1,302.38,sometimes,0
848,23.05,37.88,45.63,19.73,4.13,5.51,432.15,sometimes,3
849,30.51,32.51,26.57,35.97,5.41,2.05,182.26,often,6
850,38.21,33.55,47.67,18.55,6.98,8.05,287.75,sometimes,4
851,33.97,34.95,35.97,19.61,4.98,4.45,284.84,often,6
852,25.22,39.31,36.43,23.28,6.12,2.77,285.35,always,3
853,22.27,35.22,25.01,36.1,8.71,5.44,166.39,often,4
854,31.37,31.49,31.8,28.99,9.64,7.49,338.35,often,2
855,20.35,29.78,49.55,21.38,3.01,3.34,323.19,always,3
856,32.62,43.12,39.76,35.54,4.42,6.77,307.04,always,6
857,32.92,28.08,46.63,25.28,5.57,5.29,272.63,always,4
858,29.65,37.32,38.66,35.13,9.04,7.57,246.52,sometimes,0
859,26.98,33.5,42.7,31.87,7.22,4.72,287.99,always,4
860,25.8,31.21,45.28,19.93,7.46,3.16,137.51,never,2
861,28.39,33.35,35.25,15.0,6.74,2.59,153.22,always,0
862,26.85,35.04,39.26,13.93,7.27,5.17,316.3,sometimes,5
863,35.84,29.87,42.74,14.11,5.83,1.37,221.8,often,4
864,25.13,33.95,41.48,19.14,2.57,3.9,433.77,sometimes,0
865,25.54,41.85,36.05,16.35,3.63,7.6,437.54,often,2
866,28.82,35.94,33.06,22.15,4.97,8.98,252.17,always,2
867,35.16,33.67,44.39,22.57,5.43,5.25,308.39,sometimes,3
868,26.55,38.91,42.33,20.28,6.61,4.23,351.23,sometimes,4
869,28.42,27.13,42.47,22.12,3.99,5.59,365.45,often,5
870,26.53,40.38,44.55,31.84,4.76,2.56,219.16,sometimes,0
871,28.91,28.45,44.6,23.18,3.76,2.5,137.94,sometimes,3
872,32.93,35.75,53.27,25.3,7.2,9.63,224.55,often,6
873,26.89,28.88,44.17,11.77,2.79,10.7,344.78,always,5
874,24.34,36.78,46.8,22.6,3.7,4.73,367.62,sometimes,5
875,26.24,43.51,35.15,35.84,5.86,5.6,130.8,sometimes,5
876,26.57,36.47,41.95,16.19,7.75,7.58,561.71,sometimes,4
877,31.73,39.39,51.73,15.29,7.39,8.58,313.58,sometimes,2
878,30.42,34.4,48.14,16.88,6.24,5.44,282.28,sometimes,2
879,31.23,38.01,40.12,20.25,3.85,7.87,184.93,sometimes,0
880,30.4,37.58,47.32,24.32,9.79,3.87,440.32,often,0
881,25.98,32.13,47.82,32.87,5.72,3.86,455.25,sometimes,7
882,34.24,34.97,50.0,20.88,5.22,5.6,504.59,always,2
883,29.27,41.46,39.32,22.52,5.7,4.51,442.12,often,4
884,29.28,37.63,30.4,25.31,5.19,5.33,591.8,always,4
885,38.11,35.42,27.88,33.47,4.64,8.4,231.08,sometimes,1
886,30.04,39.67,45.87,33.72,4.96,9.58,306.64,often,7
887,30.05,37.74,31.64,13.23,4.2,8.32,363.45,often,1
888,29.66,37.87,46.19,16.92,5.29,7.41,463.1,often,2
889,32.08,27.94,48.79,17.61,5.69,8.61,258.0,always,4
890,27.21,26.8,55.07,36.78,4.59,7.82,435.65,sometimes,4
891,25.46,40.29,46.66,28.01,3.5,6.24,196.28,often,5
892,38.4,34.55,47.62,22.86,4.76,4.94,414.84,sometimes,3
893,27.35,32.27,44.82,25.69,6.87,8.67,183.54,sometimes,5
894,33.53,37.19,46.7,32.86,6.39,5.75,283.02,always,0
895,30.1,35.29,35.88,22.9,2.99,8.11,286.96,sometimes,0
896,21.41,43.23,51.51,21.06,5.42,4.97,320.39,sometimes,6
897,21.73,39.49,42.31,27.23,4.28,6.16,238.86,sometimes,2
898,33.3,34.53,38.64,18.72,5.18,1.26,241.03,sometimes,3
899,36.95,30.11,28.37,19.44,5.91,8.3,251.85,sometimes,4
900,33.43,37.24,40.26,14.25,4.21,7.28,426.26,sometimes,8
901,30.59,37.4,29.37,24.55,5.72,3.26,543.07,sometimes,0
902,25.32,36.32,21.84,27.7,5.01,7.24,225.64,often,8
903,32.8,33.22,54.4,18.97,4.66,7.4,160.48,often,0
904,22.55,38.49,35.77,37.58,4.68,7.96,182.74,never,5
905,28.06,26.47,47.24,30.4,3.51,4.08,166.51,often,4
906,35.74,39.09,30.96,22.3,6.59,4.57,300.05,always,0
907,28.32,42.07,49.1,22.58,5.27,4.52,232.46,sometimes,0
908,31.41,29.84,47.91,32.84,6.57,9.07,241.05,often,4
909,35.23,35.93,43.79,14.59,4.55,9.83,427.32,sometimes,0
910,33.66,38.0,49.04,13.43,9.06,7.88,225.05,sometimes,5
911,22.53,32.24,28.71,20.99,7.0,7.69,351.0,often,5
912,38.09,36.06,39.59,33.44,3.11,2.83,135.07,sometimes,0
913,29.22,33.54,31.55,23.38,5.32,4.06,413.3,often,2
914,27.67,32.72,54.16,21.63,5.08,4.87,268.07,sometimes,3
915,31.76,33.68,44.82,37.57,5.78,2.38,437.64,often,4
916,24.72,40.71,48.83,24.2,3.96,7.15,449.64,sometimes,4
917,34.27,41.54,26.92,26.75,4.51,4.04,332.11,sometimes,4
918,30.43,34.13,35.25,35.96,3.65,5.42,423.27,often,2
919,33.35,36.37,44.87,20.02,8.72,5.9,307.84,sometimes,3
920,34.84,30.53,28.32,16.42,7.6,7.89,259.09,often,3
921,26.83,34.94,27.8,27.69,4.23,5.98,313.86,often,3
922,35.85,30.24,35.16,28.56,3.52,3.73,243.13,often,4
923,30.36,36.31,39.59,31.42,5.24,5.68,502.13,sometimes,8
924,34.11,37.82,41.96,19.32,4.89,9.53,248.95,often,5
925,32.88,31.76,35.2,32.82,7.84,8.53,189.27,often,0
926,37.01,40.22,30.88,21.21,8.14,7.44,292.96,often,6
927,34.5,37.46,33.37,24.67,4.86,6.13,374.31,always,0
928,29.46,37.44,37.96,21.55,6.97,7.05,158.56,often,3
929,29.89,40.32,54.53,22.33,7.34,6.3,147.11,often,5
930,35.36,33.1,34.86,26.75,4.43,5.93,119.45,often,5
931,24.86,33.15,36.41,24.68,8.4,5.06,384.05,sometimes,5
932,30.27,34.64,55.2,18.74,5.09,9.03,437.89,sometimes,6
933,31.47,35.72,39.87,32.11,5.46,8.81,94.38,sometimes,7
934,33.83,31.23,51.01,18.99,8.51,5.09,326.3,always,0
935,26.23,29.75,40.67,13.11,3.71,6.59,261.08,often,5
936,29.84,33.08,43.15,25.34,3.5,3.47,241.74,always,4
937,30.29,37.68,39.55,16.9,5.7,3.83,195.4,never,0
938,24.66,31.85,48.08,28.13,4.87,8.77,351.38,never,6
939,27.93,29.85,45.4,29.03,3.09,7.41,169.34,never,6
940,23.79,33.54,37.06,16.33,5.41,3.77,480.05,sometimes,5
941,27.93,31.99,42.24,16.45,8.74,6.14,494.75,often,4
942,23.13,36.75,42.34,23.92,2.74,3.93,290.43,often,3
943,39.7,29.59,42.9,34.65,5.98,6.75,337.16,sometimes,4
944,30.65,34.86,37.3,20.15,4.93,5.87,317.34,sometimes,6
945,27.11,35.94,40.09,17.14,7.12,4.3,385.02,sometimes,0
946,33.95,37.69,24.46,20.7,9.41,5.62,349.99,often,0
947,26.9,35.74,38.88,15.24,5.41,4.48,424.83,sometimes,5
948,26.58,39.33,44.97,36.26,3.11,7.28,86.23,sometimes,3
949,29.41,39.6,47.43,21.63,4.71,4.2,149.7,often,0
950,36.74,37.68,33.89,33.16,7.29,4.5,121.3,never,6
951,28.82,37.51,51.48,25.61,3.49,6.64,527.39,often,2
952,27.92,38.86,46.34,21.1,4.31,5.05,406.22,sometimes,2
953,36.33,33.4,46.38,23.24,6.64,2.42,222.02,never,7
954,25.35,35.96,35.64,24.01,4.9,5.96,241.25,often,8
955,30.06,32.86,30.88,18.87,7.72,7.67,514.07,often,10
956,28.76,39.76,29.86,23.64,4.9,8.57,279.48,always,4
957,28.52,32.14,45.65,29.41,4.96,4.67,154.16,sometimes,6
958,30.99,40.86,39.72,17.54,7.97,2.15,522.98,often,4
959,27.06,40.43,50.79,16.02,7.36,3.32,460.14,often,0
960,30.43,34.91,34.26,15.14,5.56,6.87,459.94,often,3
961,20.94,33.92,54.62,20.98,3.91,4.12,568.5,sometimes,2
962,26.34,33.82,51.8,16.88,7.78,4.58,176.39,always,6
963,31.66,34.74,32.7,27.52,8.3,5.22,258.5,never,4
964,30.43,38.23,36.98,22.57,4.67,6.95,194.65,always,5
965,26.47,28.34,49.9,27.96,5.77,1.93,333.94,never,6
966,33.09,33.23,34.37,24.74,7.03,6.62,374.66,often,2
967,31.21,32.64,34.94,22.09,5.29,5.92,303.27,often,0
968,25.76,37.36,32.54,14.44,5.4,9.43,321.74,never,3
969,30.43,30.78,44.63,22.71,5.22,4.82,429.06,often,3
970,33.34,29.97,43.81,27.96,5.7,4.86,395.3,sometimes,1
971,31.35,30.92,38.18,26.02,6.38,6.51,244.53,often,3
972,23.65,35.51,31.34,21.06,5.76,7.54,277.35,never,0
973,29.86,40.4,27.45,35.24,4.78,6.29,409.47,sometimes,4
974,27.25,29.49,58.69,22.63,6.79,5.12,226.65,sometimes,4
975,28.11,36.64,37.52,16.33,5.82,3.06,150.22,always,0
976,28.12,39.0,46.17,12.3,8.6,9.64,330.31,often,6
977,30.18,25.55,52.73,19.69,2.46,10.93,417.62,sometimes,0
978,28.67,37.34,29.92,21.9,3.35,5.07,263.03,often,5
979,33.17,39.64,41.09,30.61,5.23,5.61,98.62,sometimes,3
980,31.59,38.54,38.16,33.9,7.08,5.3,250.79,never,4
981,29.86,29.19,49.9,20.37,5.67,3.1,324.1,always,5
982,32.29,29.62,47.17,34.11,6.61,7.36,122.85,often,3
983,31.29,30.57,23.96,22.04,3.23,7.44,122.91,never,0
984,28.67,40.41,36.48,32.66,5.35,9.63,229.35,often,5
985,35.74,35.81,32.47,22.91,7.22,3.13,422.43,often,5
986,34.13,37.96,25.77,16.44,6.76,6.11,508.88,often,1
987,30.96,30.07,34.21,24.32,6.77,4.56,387.9,often,0
988,35.14,39.63,39.66,15.65,5.77,4.6,173.9,always,0
989,30.46,35.79,34.32,12.27,4.0,2.55,284.04,sometimes,5
990,30.04,36.8,42.78,25.25,6.06,5.38,390.9,always,0
991,31.74,36.96,41.17,19.66,6.85,6.43,127.39,often,6
992,28.29,36.13,51.37,15.99,8.85,5.21,188.81,often,9
993,27.75,34.26,36.52,19.2,8.96,8.5,299.76,never,6
994,23.97,27.98,50.78,15.43,9.74,10.26,413.52,sometimes,0
995,34.25,30.63,46.35,19.85,9.15,1.55,206.52,often,4
996,31.82,34.16,44.22,24.23,5.82,8.95,246.78,always,0
997,35.84,30.51,37.7,12.57,5.54,4.98,534.7,sometimes,2
998,27.74,44.47,30.02,20.94,3.76,3.03,284.63,often,5
999,28.56,25.53,48.86,24.39,3.8,6.54,341.34,often,0
1000,33.88,28.62,47.83,30.4,5.83,6.75,276.59,sometimes,2
